prediction_date,ticker,sector,horizon_days,ensemble_model,scenario,feature_profile,selected_feature_count,threshold,latest_outperformance_probability,latest_predicts_outperformance_gt_1pct,validation_accuracy_rolling,base_model_probabilities,realized_positive_label_if_known,action_signal,signal_edge,quality_score,quality_adjusted_edge_score,signal_basis
2025-10-01,XLB,Materials,21,ensemble_equal_extra_trees_pair,recent2_keep_engineered,macro_numeric+regime_tags,74,0.7209868067291052,0.5814250657004711,0,0.8290598290598291,extra_trees_depth5_leaf10:0.571548|extra_trees_depthNone_leaf15:0.591302,,AVOID,-0.13956174102863406,0.8290598290598291,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLE,Energy,21,ensemble_equal_logit_et_hgb,recent3_price_engineered_top30,sector_technical+spy_technical+relative_technical+history_lags+calendar+engineered_price,30,0.35289102928299076,0.9349185254045096,1,0.7936507936507936,logistic_l2_C0.2:0.998625|extra_trees_depth5_leaf10:0.817329|hist_gb_lr0.06_leaf15_l20.1:0.988802,,BUY,0.5820274961215188,0.7936507936507936,0.46192658422342764,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLF,Financials,21,ensemble_aucw_all_base,recent2_keep_engineered,sector_technical+spy_technical+relative_technical+history_lags,62,0.9875277580495007,0.30663620752987425,0,0.6347826086956522,logistic_l2_C0.2:0.356206|logistic_l2_C5:0.007492|extra_trees_depth5_leaf10:0.596503|extra_trees_depthNone_leaf15:0.523320|hist_gb_lr0.06_leaf15_l20.1:0.990817,,AVOID,-0.6808915505196265,0.6347826086956522,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLI,Industrials,21,ensemble_aucw_all_base,recent3_price_engineered_top30,sector_technical+spy_technical+relative_technical+history_lags+calendar+engineered_price,30,0.2714887685088902,0.526802006819219,1,0.7117117117117117,logistic_l2_C0.2:0.663152|logistic_l2_C5:0.329452|extra_trees_depth5_leaf10:0.599214|extra_trees_depthNone_leaf15:0.631325|hist_gb_lr0.06_leaf15_l20.1:0.691948,,BUY,0.25531323831032876,0.7117117117117117,0.18170942186050423,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLK,Information Technology,21,ensemble_aucw_logit_et_hgb,recent2_keep_engineered,macro_numeric,8,0.31869488695168185,0.4612696400009771,1,0.7142857142857143,logistic_l2_C0.2:0.979745|extra_trees_depth5_leaf10:0.343409|hist_gb_lr0.06_leaf15_l20.1:0.260101,,BUY,0.14257475304929523,0.7142857142857143,0.10183910932092517,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLP,Consumer Staples,21,ensemble_equal_logit_et_hgb,full_keep,macro_numeric+regime_tags,74,0.7368086914727303,0.2873827545046656,0,0.8823529411764706,logistic_l2_C0.2:0.239022|extra_trees_depth5_leaf10:0.460677|hist_gb_lr0.06_leaf15_l20.1:0.162449,,AVOID,-0.4494259369680647,0.8823529411764706,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLU,Utilities,21,ensemble_equal_extra_trees_pair,full_drop_fund,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+regime_tags+calendar,158,0.5583689267552246,0.46148370239650804,0,0.7272727272727273,extra_trees_depth5_leaf10:0.469334|extra_trees_depthNone_leaf15:0.453633,,AVOID,-0.0968852243587166,0.7272727272727273,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLV,Health Care,21,ensemble_aucw_all_base,recent3_keep_engineered,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+sector_fundamentals+regime_tags+calendar+engineered_price,190,0.4450093509603464,0.7412901168807754,1,0.7175572519083969,logistic_l2_C0.2:0.535769|logistic_l2_C5:0.999653|extra_trees_depth5_leaf10:0.558944|extra_trees_depthNone_leaf15:0.526225|hist_gb_lr0.06_leaf15_l20.1:0.989374,,BUY,0.296280765920429,0.7175572519083969,0.21259841218717807,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-01,XLY,Consumer Discretionary,21,ensemble_equal_extra_trees_pair,full_drop_fund,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+regime_tags+calendar,158,0.5452803309371972,0.5800122309907938,1,0.7523809523809524,extra_trees_depth5_leaf10:0.513980|extra_trees_depthNone_leaf15:0.646045,,BUY,0.03473190005359661,0.7523809523809524,0.026131620040325067,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-30,XLB,Materials,21,ensemble_equal_extra_trees_pair,recent2_keep_engineered,macro_numeric+regime_tags,74,0.9096843207596228,0.5678827622300611,0,0.8861788617886179,extra_trees_depth5_leaf10:0.597817|extra_trees_depthNone_leaf15:0.537949,,AVOID,-0.34180155852956173,0.8861788617886179,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
