prediction_date,ticker,sector,horizon_days,ensemble_model,scenario,feature_profile,selected_feature_count,threshold,latest_outperformance_probability,latest_predicts_outperformance_gt_1pct,validation_accuracy_rolling,base_model_probabilities,realized_positive_label_if_known,action_signal,signal_edge,quality_score,quality_adjusted_edge_score,signal_basis
2025-09-24,XLB,Materials,21,ensemble_equal_extra_trees_pair,recent2_keep_engineered,macro_numeric+regime_tags,74,0.6350409483855095,0.6565534336889371,1,0.8303571428571429,extra_trees_depth5_leaf10:0.674538|extra_trees_depthNone_leaf15:0.638569,,BUY,0.021512485303427642,0.8303571428571429,0.017863045832310454,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLE,Energy,21,ensemble_equal_logit_et_hgb,recent3_price_engineered_top30,sector_technical+spy_technical+relative_technical+history_lags+calendar+engineered_price,30,0.3644304390336925,0.9448059259343455,1,0.8333333333333334,logistic_l2_C0.2:0.999212|extra_trees_depth5_leaf10:0.840807|hist_gb_lr0.06_leaf15_l20.1:0.994399,,BUY,0.580375486900653,0.8333333333333334,0.4836462390838775,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLF,Financials,21,ensemble_aucw_all_base,recent2_keep_engineered,sector_technical+spy_technical+relative_technical+history_lags,62,0.9900606550037367,0.3025296740168622,0,0.6017699115044248,logistic_l2_C0.2:0.157126|logistic_l2_C5:0.000655|extra_trees_depth5_leaf10:0.683230|extra_trees_depthNone_leaf15:0.630051|hist_gb_lr0.06_leaf15_l20.1:0.992956,,AVOID,-0.6875309809868746,0.6017699115044248,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLI,Industrials,21,ensemble_aucw_all_base,recent3_price_engineered_top30,sector_technical+spy_technical+relative_technical+history_lags+calendar+engineered_price,30,0.13826837018461374,0.4209001649948736,1,0.7363636363636363,logistic_l2_C0.2:0.441001|logistic_l2_C5:0.284826|extra_trees_depth5_leaf10:0.584538|extra_trees_depthNone_leaf15:0.584016|hist_gb_lr0.06_leaf15_l20.1:0.541980,,BUY,0.28263179481025985,0.7363636363636363,0.20811977617846406,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLK,Information Technology,21,ensemble_aucw_logit_et_hgb,recent2_keep_engineered,macro_numeric,8,0.20218661072018432,0.38651206839769175,1,0.8307692307692308,logistic_l2_C0.2:0.977685|extra_trees_depth5_leaf10:0.217652|hist_gb_lr0.06_leaf15_l20.1:0.157137,,BUY,0.18432545767750744,0.8307692307692308,0.15313191868592926,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLP,Consumer Staples,21,ensemble_equal_logit_et_hgb,full_keep,macro_numeric+regime_tags,74,0.6734284333881496,0.6858485618272281,1,0.9037037037037037,logistic_l2_C0.2:0.756003|extra_trees_depth5_leaf10:0.583993|hist_gb_lr0.06_leaf15_l20.1:0.717550,,BUY,0.01242012843907847,0.9037037037037037,0.011224116070870914,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLU,Utilities,21,ensemble_equal_extra_trees_pair,full_drop_fund,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+regime_tags+calendar,158,0.5807598567539081,0.6426687541506,1,0.8181818181818182,extra_trees_depth5_leaf10:0.544865|extra_trees_depthNone_leaf15:0.740472,,BUY,0.06190889739669192,0.8181818181818182,0.05065273423365703,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLV,Health Care,21,ensemble_aucw_all_base,recent3_keep_engineered,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+sector_fundamentals+regime_tags+calendar+engineered_price,190,0.37380937460585817,0.865948868750001,1,0.7596899224806202,logistic_l2_C0.2:0.999632|logistic_l2_C5:1.000000|extra_trees_depth5_leaf10:0.735292|extra_trees_depthNone_leaf15:0.660139|hist_gb_lr0.06_leaf15_l20.1:0.976807,,BUY,0.4921394941441428,0.7596899224806202,0.3738734141560155,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-09-24,XLY,Consumer Discretionary,21,ensemble_equal_extra_trees_pair,full_drop_fund,sector_technical+spy_technical+relative_technical+history_lags+macro_numeric+regime_tags+calendar,158,0.545856574682889,0.4628275470837406,0,0.7614678899082569,extra_trees_depth5_leaf10:0.483650|extra_trees_depthNone_leaf15:0.442005,,AVOID,-0.08302902759914838,0.7614678899082569,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
2025-10-23,XLB,Materials,21,ensemble_equal_extra_trees_pair,recent2_keep_engineered,macro_numeric+regime_tags,74,0.8250071316288622,0.5104227234404858,0,0.8770491803278688,extra_trees_depth5_leaf10:0.534892|extra_trees_depthNone_leaf15:0.485953,,AVOID,-0.3145844081883764,0.8770491803278688,0.0,BUY means the model predicts >1% 21-trading-day active return versus SPY. It is not an absolute positive-return guarantee.
